Trigram,Trigram_sum,p_abc,p_a_x_p_b_x_p_c,PMI
very_hard_for,1.0,0.0002872737719046251,9.459339784458465e-09,14.8903
"volcano_,_monster",1.0,0.0002872737719046251,1.1379656883559057e-09,17.9456
volcano_be_vomit,1.0,0.0002872737719046251,1.915575575399108e-08,13.8724
volcano_explode_and,1.0,0.0002872737719046251,2.1545483699538485e-07,10.3808
volcano_explode_suddenly,1.0,0.0002872737719046251,3.034575168949082e-09,16.5306
volcano_put_out,1.0,0.0002872737719046251,6.8277941301354335e-09,15.3606
volcano_start_to,1.0,0.0002872737719046251,1.8017790065635176e-08,13.9607
want_people_to,1.0,0.0002872737719046251,5.968392959241651e-07,8.9109
want_to_do,1.0,0.0002872737719046251,1.0247618099830003e-06,8.131
want_to_get,2.0,0.0005745475438092502,2.3648349461146163e-07,11.2465
want_to_know,1.0,0.0002872737719046251,1.238723067012418e-07,11.1794
warm_in_the,1.0,0.0002872737719046251,6.913141556762128e-08,12.0208
wash_away_by,1.0,0.0002872737719046251,4.741523701482941e-11,22.5306
water_and_natural,1.0,0.0002872737719046251,5.049722742079332e-09,15.7959
water_or_measure,1.0,0.0002872737719046251,5.54758273073504e-08,12.3383
we_can_use,1.0,0.0002872737719046251,1.4437939671015554e-08,14.2803
weigh_something_or,1.0,0.0002872737719046251,3.4138970650677167e-07,9.7168
weigh_the_same,1.0,0.0002872737719046251,3.840634198201182e-09,16.1907
weight_height_etc,1.0,0.0002872737719046251,1.4224571104448822e-10,20.9456
what_be_it,1.0,0.0002872737719046251,1.2738577576404068e-06,7.8171
what_chair_size,1.0,0.0002872737719046251,3.9828799092456704e-09,16.1383
what_size_it,1.0,0.0002872737719046251,1.0089962436755697e-07,11.4753
what_size_you,1.0,0.0002872737719046251,3.239408992853145e-07,9.7925
what_something_and,1.0,0.0002872737719046251,1.8852298237096174e-06,7.2515
what_to_do,1.0,0.0002872737719046251,1.4346665339762006e-06,7.6456
what_you_learn,1.0,0.0002872737719046251,4.0492612410664307e-07,9.4706
when_a_person,1.0,0.0002872737719046251,1.103428429714304e-05,4.7024
when_a_rock,1.0,0.0002872737719046251,5.015583771428654e-07,9.1618
when_a_volcano,1.0,0.0002872737719046251,2.0062335085714617e-06,7.1618
when_bird_go,1.0,0.0002872737719046251,5.708794536585461e-08,12.297
when_butterfly_go,1.0,0.0002872737719046251,5.708794536585461e-08,12.297
when_it_be,1.0,0.0002872737719046251,1.5650252451010713e-05,4.1982
when_it_ca,1.0,0.0002872737719046251,7.592696733658661e-06,5.2417
when_it_get,1.0,0.0002872737719046251,3.254012885853712e-06,6.4641
when_somebody_need,1.0,0.0002872737719046251,7.339878689895592e-07,8.6125
when_someone_hold,1.0,0.0002872737719046251,6.544725165156903e-07,8.7779
when_someone_save,1.0,0.0002872737719046251,1.7016285429407948e-05,4.0774
when_something_be,3.0,0.0008618213157138753,3.294789989686466e-05,4.7091
when_something_blow,1.0,0.0002872737719046251,1.9573009839721577e-06,7.1974
when_something_explode,2.0,0.0005745475438092502,5.2194692905924216e-06,6.7824
when_something_hit,1.0,0.0002872737719046251,6.524336613240527e-07,8.7824
when_the_pressure,1.0,0.0002872737719046251,9.908836231359049e-07,8.1795
when_there_'s,1.0,0.0002872737719046251,2.6097346452962107e-07,10.1043
when_they_do,2.0,0.0005745475438092502,5.566074673170823e-06,6.6896
when_they_invent,1.0,0.0002872737719046251,2.5689575414634565e-06,6.8051
when_they_solve,1.0,0.0002872737719046251,1.2233131149825985e-07,11.1974
when_they_try,1.0,0.0002872737719046251,6.116565574912993e-07,8.8755
when_you_'re,8.0,0.002298190175237001,1.7411823336585653e-05,7.0443
when_you_adapt,1.0,0.0002872737719046251,4.974806667595901e-07,9.1736
when_you_be,1.0,0.0002872737719046251,5.02455473427186e-05,2.5154
when_you_ca,5.0,0.0014363688595231256,2.4376552671219914e-05,5.8808
when_you_check,1.0,0.0002872737719046251,2.4874033337979506e-06,6.8516
when_you_come,1.0,0.0002872737719046251,1.4924420002787702e-06,7.5886
when_you_do,3.0,0.0008618213157138753,4.5270740675122694e-05,4.2507
when_you_get,4.0,0.0011490950876185005,1.0447094001951392e-05,6.7813
when_you_go,6.0,0.0017236426314277506,1.3929458669268524e-05,6.9512
when_you_graduate,1.0,0.0002872737719046251,4.974806667595901e-07,9.1736
when_you_have,1.0,0.0002872737719046251,8.457171334913031e-06,5.0861
when_you_invent,4.0,0.0011490950876185005,2.0894188003902783e-05,5.7813
when_you_live,1.0,0.0002872737719046251,2.4874033337979506e-06,6.8516
when_you_make,3.0,0.0008618213157138753,2.736143667177745e-05,4.9772
when_you_measure,4.0,0.0011490950876185005,1.2934497335749342e-05,6.4731
when_you_own,1.0,0.0002872737719046251,9.949613335191802e-07,8.1736
when_you_press,1.0,0.0002872737719046251,9.949613335191802e-07,8.1736
when_you_push,2.0,0.0005745475438092502,3.482364667317131e-06,7.3662
when_you_save,6.0,0.0017236426314277506,3.880349200724803e-05,5.4731
