Bigram,Bigram_sum,p_ab,p_a_x_p_b,PMI
it_work,1.0,0.0002872737719046251,3.763195633108562e-05,2.9324
it_would,1.0,0.0002872737719046251,1.2543985443695207e-05,4.5174
jail_and,1.0,0.0002872737719046251,2.9296808108630257e-05,3.2936
jail_or,1.0,0.0002872737719046251,1.2378933003646587e-05,4.5365
jail_you,1.0,0.0002872737719046251,0.0001006819884296589,1.5126
job_and,1.0,0.0002872737719046251,1.7578084865178155e-05,4.0306
job_of,1.0,0.0002872737719046251,4.456415881312771e-06,6.0104
judge_and,1.0,0.0002872737719046251,5.859361621726052e-06,5.6155
just_do,1.0,0.0002872737719046251,7.5098860222122624e-06,5.2575
keep_an,1.0,0.0002872737719046251,9.903146402917269e-07,8.1803
keep_people,1.0,0.0002872737719046251,8.747779322576921e-06,5.0374
kind_of,2.0,0.0005745475438092502,2.970943920875181e-06,7.5954
know_about,1.0,0.0002872737719046251,8.170095782406747e-06,5.1359
know_all,1.0,0.0002872737719046251,2.723365260802249e-06,6.7209
know_how,1.0,0.0002872737719046251,3.6311536810696655e-05,2.9839
know_stuff,1.0,0.0002872737719046251,3.0864806289092155e-05,3.2184
know_the,2.0,0.0005745475438092502,4.902057469444048e-05,3.551
know_what,2.0,0.0005745475438092502,6.3545189418719144e-06,6.4985
know_you,1.0,0.0002872737719046251,0.00022150037454524957,0.3751
knowledge_in,1.0,0.0002872737719046251,2.228207940656386e-06,7.0104
lava_come,1.0,0.0002872737719046251,4.951573201458634e-07,9.1803
law_and,1.0,0.0002872737719046251,1.1718723243452104e-05,4.6155
lawyer_'s,1.0,0.0002872737719046251,1.848587328544557e-05,3.9579
lawyer_and,1.0,0.0002872737719046251,4.101553135208236e-05,2.8082
lawyer_like,1.0,0.0002872737719046251,5.4879936316166535e-05,2.3881
lawyer_there,1.0,0.0002872737719046251,2.3107341606806964e-06,6.9579
lawyer_thing,1.0,0.0002872737719046251,2.3107341606806963e-05,3.636
learn_a,1.0,0.0002872737719046251,0.00010150725062990201,1.5008
learn_how,1.0,0.0002872737719046251,3.301048800972423e-05,3.1214
learn_more,1.0,0.0002872737719046251,1.6505244004862116e-06,7.4434
learn_new,1.0,0.0002872737719046251,5.776835401701741e-06,5.636
learn_something,1.0,0.0002872737719046251,0.00013204195203889691,1.1214
learn_stuff,1.0,0.0002872737719046251,2.8058914808265596e-05,3.3559
learn_when,1.0,0.0002872737719046251,7.09725492209071e-05,2.0171
leave_place,1.0,0.0002872737719046251,7.427359802187952e-07,8.5954
length_of,1.0,0.0002872737719046251,5.941887841750362e-06,5.5954
length_or,2.0,0.0005745475438092502,9.903146402917269e-06,5.8584
life_or,1.0,0.0002872737719046251,2.4757866007293173e-05,3.5365
life_when,1.0,0.0002872737719046251,7.09725492209071e-05,2.0171
like_a,13.0,0.0037345590347601263,0.000964318880984069,1.9534
like_ear,1.0,0.0002872737719046251,7.839990902309505e-06,5.1954
like_equipment,1.0,0.0002872737719046251,7.839990902309505e-06,5.1954
like_everyones,1.0,0.0002872737719046251,7.839990902309505e-06,5.1954
like_family,1.0,0.0002872737719046251,1.567998180461901e-05,4.1954
like_guard,1.0,0.0002872737719046251,7.839990902309505e-06,5.1954
like_he,2.0,0.0005745475438092502,5.4879936316166535e-05,3.3881
like_how,2.0,0.0005745475438092502,0.0003135996360923802,0.8735
like_i,2.0,0.0005745475438092502,0.00010975987263233307,2.3881
like_if,9.0,0.002585463947141626,0.00021167975436235664,3.6105
like_in,2.0,0.0005745475438092502,0.00021167975436235664,1.4405
like_integrity,1.0,0.0002872737719046251,7.839990902309505e-06,5.1954
like_it,2.0,0.0005745475438092502,0.0005958393085755224,-0.0525
like_make,1.0,0.0002872737719046251,0.0004311994996270227,-0.5859
like_manager,1.0,0.0002872737719046251,3.135996360923802e-05,3.1954
like_medicine,1.0,0.0002872737719046251,1.567998180461901e-05,4.1954
like_no,1.0,0.0002872737719046251,1.567998180461901e-05,4.1954
like_potion,1.0,0.0002872737719046251,9.407989082771405e-05,1.6105
like_review,1.0,0.0002872737719046251,7.839990902309505e-06,5.1954
like_school,1.0,0.0002872737719046251,6.271992721847604e-05,2.1954
like_science,1.0,0.0002872737719046251,0.00012543985443695208,1.1954
like_someone,3.0,0.0008618213157138753,0.000838879026547117,0.0389
like_something,4.0,0.0011490950876185005,0.0012543985443695207,-0.1265
like_steve,1.0,0.0002872737719046251,7.839990902309505e-06,5.1954
like_stress,1.0,0.0002872737719046251,7.839990902309505e-06,5.1954
like_superman,1.0,0.0002872737719046251,7.839990902309505e-06,5.1954
like_that,3.0,0.0008618213157138753,0.0013798383988064729,-0.679
like_the,2.0,0.0005745475438092502,0.0004233595087247133,0.4405
like_they,2.0,0.0005745475438092502,0.00023519972706928513,1.2885
like_to,1.0,0.0002872737719046251,0.0007447991357194029,-1.3744
like_too,1.0,0.0002872737719046251,5.4879936316166535e-05,2.3881
like_try,1.0,0.0002872737719046251,7.839990902309504e-05,1.8735
like_volcano,1.0,0.0002872737719046251,6.271992721847604e-05,2.1954
like_when,5.0,0.0014363688595231256,0.0006742392175986174,1.0911
like_who,1.0,0.0002872737719046251,0.0005644793449662844,-0.9745
like_you,22.0,0.006320022981901752,0.001912957780163519,1.7241
liquid_and,1.0,0.0002872737719046251,1.1718723243452104e-05,4.6155
live_in,1.0,0.0002872737719046251,1.1141039703281928e-05,4.6885
long_be,2.0,0.0005745475438092502,0.00010835692689191979,2.4066
long_it,5.0,0.0014363688595231256,8.153590538401884e-05,4.1388
long_something,4.0,0.0011490950876185005,0.000171654537650566,2.7429
long_to,1.0,0.0002872737719046251,0.00010191988173002356,1.495
look_at,2.0,0.0005745475438092502,1.6505244004862116e-06,8.4434
look_for,1.0,0.0002872737719046251,2.3107341606806964e-06,6.9579
look_in,1.0,0.0002872737719046251,8.912831762625543e-06,5.0104
lose_and,1.0,0.0002872737719046251,5.859361621726052e-06,5.6155
lot_and,1.0,0.0002872737719046251,4.101553135208236e-05,2.8082
lot_my,1.0,0.0002872737719046251,1.7330506205105222e-06,7.373
lot_of,3.0,0.0008618213157138753,1.0398303723063133e-05,6.373
lowin_too,1.0,0.0002872737719046251,5.776835401701741e-07,8.9579
mad_and,1.0,0.0002872737719046251,5.859361621726052e-06,5.6155
make_a,1.0,0.0002872737719046251,0.000558289878464461,-0.9586
make_energy,1.0,0.0002872737719046251,4.538942101337081e-06,5.9839
make_experiment,4.0,0.0011490950876185005,7.716201572273037e-05,3.8965
make_kind,1.0,0.0002872737719046251,9.077884202674162e-06,4.9839
make_law,1.0,0.0002872737719046251,9.077884202674162e-06,4.9839
make_liquid,1.0,0.0002872737719046251,9.077884202674162e-06,4.9839
make_medicine,1.0,0.0002872737719046251,9.077884202674162e-06,4.9839
make_new,2.0,0.0005745475438092502,3.177259470935957e-05,4.1766
make_people,1.0,0.0002872737719046251,0.00024056393137086529,0.256
make_potion,6.0,0.0017236426314277506,5.4467305216044975e-05,4.9839
make_science,2.0,0.0005745475438092502,7.26230736213933e-05,2.9839
make_some,1.0,0.0002872737719046251,1.3616826304011244e-05,4.399
make_something,13.0,0.0037345590347601263,0.000726230736213933,2.3624
make_stuff,10.0,0.002872737719046251,0.00015432403144546075,4.2184
make_thing,6.0,0.0017236426314277506,0.00018155768405348326,3.247
make_toothpaste,1.0,0.0002872737719046251,4.538942101337081e-06,5.9839
make_you,2.0,0.0005745475438092502,0.0011075018727262477,-0.9468
man_who,2.0,0.0005745475438092502,1.1883775683500724e-05,5.5954
manage_to,1.0,0.0002872737719046251,7.839990902309505e-06,5.1954
math_you,1.0,0.0002872737719046251,2.013639768593178e-05,3.8345
matter_how,1.0,0.0002872737719046251,3.3010488009724233e-06,6.4434
mean_how,1.0,0.0002872737719046251,4.621468321361393e-05,2.636
mean_like,5.0,0.0014363688595231256,0.00010975987263233307,3.71
mean_somebody,1.0,0.0002872737719046251,5.199151861531567e-05,2.4661
mean_that,3.0,0.0008618213157138753,0.00020334460613990126,2.0835
mean_to,1.0,0.0002872737719046251,0.00010975987263233307,1.3881
mean_when,1.0,0.0002872737719046251,9.936156890926994e-05,1.5317
mean_you,2.0,0.0005745475438092502,0.0002819095676030449,1.0272
measure_big,1.0,0.0002872737719046251,3.003954408884905e-05,3.2575
measure_cup,1.0,0.0002872737719046251,2.145681720632075e-06,7.0648
measure_height,1.0,0.0002872737719046251,6.4370451618962246e-06,5.4799
measure_how,3.0,0.0008618213157138753,8.5827268825283e-05,3.3279
measure_it,3.0,0.0008618213157138753,0.00016307181076803768,2.4019
measure_like,2.0,0.0005745475438092502,0.00020383976346004712,1.495
measure_my,2.0,0.0005745475438092502,6.4370451618962246e-06,6.4799
measure_something,4.0,0.0011490950876185005,0.000343309075301132,1.7429
measure_the,3.0,0.0008618213157138753,0.00011586681291413205,2.8949
measure_this,1.0,0.0002872737719046251,6.4370451618962246e-06,5.4799
measure_water,1.0,0.0002872737719046251,6.4370451618962246e-06,5.4799
measure_what,1.0,0.0002872737719046251,1.5019772044424525e-05,4.2575
measure_with,1.0,0.0002872737719046251,6.4370451618962246e-06,5.4799
measure_you,1.0,0.0002872737719046251,0.0005235463398342262,-0.8659
medicine_or,1.0,0.0002872737719046251,4.951573201458634e-06,5.8584
metal_be,1.0,0.0002872737719046251,1.6670296444910738e-05,4.1071
metal_in,1.0,0.0002872737719046251,4.456415881312772e-06,6.0104
mexico_be,1.0,0.0002872737719046251,3.3340592889821476e-05,3.1071
mexico_they,1.0,0.0002872737719046251,9.903146402917269e-06,4.8584
mexico_when,1.0,0.0002872737719046251,2.838901968836284e-05,3.339
migrate_mean,1.0,0.0002872737719046251,2.3107341606806964e-06,6.9579
migrate_over,1.0,0.0002872737719046251,8.252622002431058e-07,8.4434
military_and,1.0,0.0002872737719046251,5.859361621726052e-06,5.6155
mom_say,1.0,0.0002872737719046251,6.602097601944847e-07,8.7653
mom_think,1.0,0.0002872737719046251,4.951573201458634e-07,9.1803
more_knowledge,1.0,0.0002872737719046251,1.6505244004862117e-07,10.7653
more_thing,1.0,0.0002872737719046251,6.6020976019448466e-06,5.4434
move_to,2.0,0.0005745475438092502,1.567998180461901e-05,5.1954
much_a,1.0,0.0002872737719046251,6.0904350377941204e-05,2.2378
much_air,1.0,0.0002872737719046251,1.4854719604375903e-06,7.5954
much_blood,1.0,0.0002872737719046251,4.951573201458634e-07,9.1803
much_the,1.0,0.0002872737719046251,2.6738495287876627e-05,3.4254
much_you,1.0,0.0002872737719046251,0.00012081838611559067,1.2496
my_big,1.0,0.0002872737719046251,3.4661012410210444e-06,6.373
my_mom,1.0,0.0002872737719046251,4.951573201458634e-07,9.1803
my_pencil,1.0,0.0002872737719046251,2.475786600729317e-07,10.1803
n't_be,4.0,0.0011490950876185005,0.0004500980040125899,1.3522
n't_belong,1.0,0.0002872737719046251,4.456415881312772e-06,6.0104
n't_do,36.0,0.010341855788566504,0.00040553384519946214,4.6725
n't_figure,1.0,0.0002872737719046251,1.3369247643938313e-05,4.4254
n't_finish,1.0,0.0002872737719046251,4.456415881312772e-06,6.0104
n't_happen,2.0,0.0005745475438092502,1.3369247643938313e-05,5.4254
n't_know,2.0,0.0005745475438092502,4.902057469444048e-05,3.551
n't_need,1.0,0.0002872737719046251,3.5651327050502174e-05,3.0104
n't_really,1.0,0.0002872737719046251,2.6738495287876627e-05,3.4254
n't_see,1.0,0.0002872737719046251,7.57590699823171e-05,1.9229
n't_so,2.0,0.0005745475438092502,1.3369247643938313e-05,5.4254
n't_stop,1.0,0.0002872737719046251,4.456415881312772e-06,6.0104
na_blow,1.0,0.0002872737719046251,4.951573201458634e-07,9.1803
natural_resource,1.0,0.0002872737719046251,4.126311001215529e-07,9.4434
need_help,1.0,0.0002872737719046251,1.0563356163111755e-05,4.7653
need_to,5.0,0.0014363688595231256,6.271992721847604e-05,4.5174
never_be,1.0,0.0002872737719046251,1.6670296444910738e-05,4.1071
never_do,1.0,0.0002872737719046251,1.5019772044424525e-05,4.2575
new_thing,7.0,0.002010916403332376,2.3107341606806963e-05,6.4434
no_food,1.0,0.0002872737719046251,1.6505244004862117e-07,10.7653
no_matter,1.0,0.0002872737719046251,1.6505244004862117e-07,10.7653
nobody_can,1.0,0.0002872737719046251,2.393260380705007e-06,6.9073
north_for,1.0,0.0002872737719046251,5.776835401701741e-07,8.9579
not_be,1.0,0.0002872737719046251,0.00014169751978174126,1.0196
not_do,7.0,0.002010916403332376,0.00012766806237760845,3.9774
not_get,1.0,0.0002872737719046251,2.946186054867887e-05,3.2855
not_happen,1.0,0.0002872737719046251,4.208837221239839e-06,6.0929
not_possible,5.0,0.0014363688595231256,8.417674442479677e-06,7.4148
not_that,1.0,0.0002872737719046251,0.00024691845031273724,0.2184
not_to,1.0,0.0002872737719046251,0.00013327984533926157,1.108
of_hard,1.0,0.0002872737719046251,2.8223967248314216e-05,3.3474
of_jail,1.0,0.0002872737719046251,7.427359802187952e-06,5.2734
of_lawyer,1.0,0.0002872737719046251,1.0398303723063133e-05,4.788
of_like,1.0,0.0002872737719046251,0.0001411198362415711,1.0255
of_metal,1.0,0.0002872737719046251,2.970943920875181e-06,6.5954
of_pressure,2.0,0.0005745475438092502,1.3369247643938313e-05,5.4254
of_public,1.0,0.0002872737719046251,1.4854719604375905e-06,7.5954
of_science,1.0,0.0002872737719046251,2.3767551367001448e-05,3.5954
of_scientist,1.0,0.0002872737719046251,4.456415881312771e-06,6.0104
of_something,6.0,0.0017236426314277506,0.00023767551367001447,2.8584
of_that,1.0,0.0002872737719046251,0.0002614430650370159,0.1359
of_weather,1.0,0.0002872737719046251,1.4854719604375905e-06,7.5954
on_animal,1.0,0.0002872737719046251,1.8155768405348328e-06,7.3059
on_human,1.0,0.0002872737719046251,9.077884202674164e-07,8.3059
on_it,1.0,0.0002872737719046251,6.899191994032364e-05,2.0579
on_something,1.0,0.0002872737719046251,0.00014524614724278662,0.9839
on_the,1.0,0.0002872737719046251,4.902057469444048e-05,2.551
on_their,1.0,0.0002872737719046251,9.077884202674164e-07,8.3059
on_to,1.0,0.0002872737719046251,8.623989992540455e-05,1.736
on_you,3.0,0.0008618213157138753,0.00022150037454524957,1.9601
one_place,1.0,0.0002872737719046251,7.427359802187952e-07,8.5954
"optimism_,",1.0,0.0002872737719046251,4.951573201458634e-07,9.1803
or_be,1.0,0.0002872737719046251,0.00025005444667366105,0.2002
or_big,3.0,0.0008618213157138753,3.4661012410210445e-05,4.636
or_feel,1.0,0.0002872737719046251,1.2378933003646587e-05,4.5365
or_girl,2.0,0.0005745475438092502,4.951573201458634e-06,6.8584
or_how,1.0,0.0002872737719046251,9.903146402917269e-05,1.5365
or_in,1.0,0.0002872737719046251,6.684623821969156e-05,2.1035
or_it,1.0,0.0002872737719046251,0.0001881597816554281,0.6105
or_long,1.0,0.0002872737719046251,3.2185225809481124e-05,3.158
or_man,1.0,0.0002872737719046251,4.951573201458634e-06,5.8584
or_measure,2.0,0.0005745475438092502,6.437045161896225e-05,3.158
or_nobody,1.0,0.0002872737719046251,2.475786600729317e-06,6.8584
or_north,1.0,0.0002872737719046251,2.475786600729317e-06,6.8584
or_piece,1.0,0.0002872737719046251,2.475786600729317e-06,6.8584
or_save,1.0,0.0002872737719046251,0.00019311135485688676,0.573
or_shoot,1.0,0.0002872737719046251,2.475786600729317e-06,6.8584
or_size,1.0,0.0002872737719046251,1.9806292805834537e-05,3.8584
or_small,1.0,0.0002872737719046251,1.4854719604375903e-05,4.2734
or_someone,1.0,0.0002872737719046251,0.00026490916627803693,0.1169
or_something,1.0,0.0002872737719046251,0.00039612585611669077,-0.4635
or_squeeze,1.0,0.0002872737719046251,4.951573201458634e-06,5.8584
or_summer,1.0,0.0002872737719046251,2.475786600729317e-06,6.8584
or_the,2.0,0.0005745475438092502,0.00013369247643938312,2.1035
or_they,1.0,0.0002872737719046251,7.42735980218795e-05,1.9515
or_too,1.0,0.0002872737719046251,1.7330506205105223e-05,4.051
or_use,1.0,0.0002872737719046251,5.1991518615315654e-05,2.4661
other_people,2.0,0.0005745475438092502,8.747779322576921e-06,6.0374
others_from,1.0,0.0002872737719046251,4.126311001215529e-07,9.4434
out_how,1.0,0.0002872737719046251,3.9612585611669074e-05,2.8584
out_lava,1.0,0.0002872737719046251,1.9806292805834537e-06,7.1803
out_of,1.0,0.0002872737719046251,1.7825663525251083e-05,4.0104
out_something,2.0,0.0005745475438092502,0.0001584503424466763,1.8584
out_to,1.0,0.0002872737719046251,9.407989082771405e-05,1.6105
outside_and,1.0,0.0002872737719046251,5.859361621726052e-06,5.6155
over_again,1.0,0.0002872737719046251,4.126311001215529e-07,9.4434
over_and,2.0,0.0005745475438092502,2.9296808108630257e-05,4.2936
over_the,1.0,0.0002872737719046251,2.2282079406563855e-05,3.6885
own_a,1.0,0.0002872737719046251,2.03014501259804e-05,3.8228
own_the,1.0,0.0002872737719046251,8.912831762625543e-06,5.0104
paper_in,1.0,0.0002872737719046251,2.228207940656386e-06,7.0104
people_and,3.0,0.0008618213157138753,0.00031054616595148067,1.4726
people_can,2.0,0.0005745475438092502,0.00012684280017736534,2.1794
people_have,1.0,0.0002872737719046251,7.435612424190382e-05,1.9499
people_if,1.0,0.0002872737719046251,0.00011809502085478844,1.2825
